id,lat,lon,location,hive,day,month,year,hour,min,segment,dance found?,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,azimuth,heading.degrees,heading.radians,flag
1,39.9611,-83.432102,FSR,1,27,6,2016,13,0,Camera1_062716_13.00_for_60sec,,,1,1,4,8,1395,1460,1430.625,25.099,820,898,861.25,25.672,1.268,1.902,1.668,0.284,94,122,105.5,9.651,36.069,88.119,60.671,21.548,0,88.119,30.336,35.365,NA,NA,NA,NA,36.069,88.119,60.671,21.548,28.447,48.017,35.854,9.17,117.728,159.928,140.532,18.635,NA,NA,NA,NA,,207.728,249.928,230.532,152,22.532,0.3932575871,
2,39.9611,-83.432102,FSR,1,27,6,2016,13,5,Camera1_062716_13.05_for_60sec,,,1,1,4,8,1312,1417,1356.75,33.974,702,776,737.625,25.917,1.101,1.502,1.293,0.222,68,133,96,26.458,42.107,58.138,50.627,6.747,0,58.138,25.314,27.419,NA,NA,NA,NA,42.107,58.138,50.627,6.747,36.107,44.732,39.45,3.7,-178.919,175.914,75.496,170.888,NA,NA,NA,NA,,271.081,265.914,165.496,155.5,320.996,5.602437086,
3,39.9611,-83.432102,FSR,1,27,6,2016,13,5,Camera1_062716_13.05_for_60sec,,,2,2,4,8,1374,1421,1398.375,18.338,850,925,884.625,23.982,0.467,1.034,0.684,0.273,82,111,93.625,11.338,34.986,51.894,41.902,7.326,0,51.894,20.951,22.905,NA,NA,NA,NA,34.986,51.894,41.902,7.326,37.016,90.848,67.595,22.576,120.964,154.916,138.051,15.121,NA,NA,NA,NA,,210.964,244.916,228.051,155.5,23.551,0.4110424921,
4,39.9611,-83.432102,FSR,1,27,6,2016,13,10,Camera1_062716_13.10_for_60sec,,,1,1,4,8,1257,1365,1319.75,32.927,724,839,785,40.299,0.834,1.602,1.201,0.337,55,92,73.125,10.575,35.355,58,45.222,9.587,0,58,22.611,24.974,NA,NA,NA,NA,35.355,58,45.222,9.587,26.49,55.262,39.506,11.956,135,176.269,151.98,19.913,NA,NA,NA,NA,,225,266.269,29.86,159,#REF!,#REF!,
5,39.9611,-83.432102,FSR,1,27,6,2016,13,15,Camera1_062716_13.15_for_60sec,,,1,1,4,8,1250,1434,1342.375,75.578,458,572,510.625,40.49,0.834,2.603,1.652,0.727,109,141,119.375,10.084,25.632,81.597,56.211,23.219,0,81.597,28.105,33.672,NA,NA,NA,NA,25.632,81.597,56.211,23.219,30.728,40.588,34.125,4.513,-108.726,-20.556,-60.14,38.385,NA,NA,NA,NA,,341.274,69.444,,162.7,192.56,3.360806008,
6,39.9611,-83.432102,FSR,1,27,6,2016,13,20,Camera1_062716_13.20_for_60sec,,,1,1,4,8,1214.052,1323.466,1267.073,37.985,683.466,836.347,748.478,52.069,1.034,2.536,1.752,0.616,73,109,91.625,13.469,56.261,91.183,70.047,14.924,0,91.183,35.024,38.696,NA,NA,NA,NA,56.261,91.183,70.047,14.924,31.814,62.728,42.794,13.774,-83.66,83.367,-28.308,75.844,NA,NA,NA,NA,,6.34,173.367,61.692,166.5,228.192,3.982701727,
7,39.9611,-83.432102,FSR,1,27,6,2016,13,20,Camera1_062716_13.20_for_60sec,,,2,2,4,8,1549.789,1641.218,1590.82,32.818,833.349,890.304,867.822,18.531,1.068,1.368,1.185,0.135,92,119,107.25,7.96,37.079,68.783,48.624,13.879,0,68.783,24.312,27.533,NA,NA,NA,NA,37.079,68.783,48.624,13.879,33.674,50.279,40.608,7.37,-26.565,3.814,-12.024,12.475,NA,NA,NA,NA,,63.435,93.814,77.976,166.5,244.476,4.266911142,
8,39.9611,-83.432102,FSR,1,27,6,2016,13,25,Camera1_062716_13.25_for_60sec,,,1,1,4,8,1446,1582,1496.625,45.987,728,914,807.25,65.073,1.134,1.735,1.351,0.265,84,109,95.625,8.551,53.038,91.761,69.382,19.282,0,91.761,34.691,39.176,NA,NA,NA,NA,53.038,91.761,69.382,19.282,41.14,64.149,51.231,9.857,106.46,135.764,125.006,13.717,NA,NA,NA,NA,,196.46,225.764,215.006,170.4,25.406,0.4434183498,
9,39.9611,-83.432102,FSR,1,27,6,2016,13,25,Camera1_062716_13.25_for_60sec,,,2,2,4,8,914.785,974.738,942.763,21.504,520.093,577.049,547.697,19.927,0.567,1.168,0.901,0.25,81,129,104.75,16.299,33.035,56.56,42.575,11.378,0,56.56,21.288,23.946,NA,NA,NA,NA,33.035,56.56,42.575,11.378,37.268,58.238,48.162,8.575,143.471,176.532,156.718,14.706,NA,NA,NA,NA,,233.471,266.532,246.718,170.4,57.118,0.9968971622,
10,39.9611,-83.432102,FSR,1,27,6,2016,13,30,Camera1_062716_13.30_for_60sec,,,1,1,4,8,1371,1424,1397.625,19.813,692,776,722.5,29.742,0,0,0,0,47,66,56.375,7.11,32.016,65.513,48.843,13.79,0,65.513,24.421,27.624,NA,NA,NA,NA,32.016,65.513,48.843,13.79,NA,NA,NA,NA,-14.47,139.764,94.522,73.055,NA,NA,NA,NA,,75.53,229.764,184.522,174.4,358.922,6.264370658,
11,39.9611,-83.432102,FSR,1,27,6,2016,13,35,Camera1_062716_13.35_for_60sec,,,1,1,4,8,1077,1411,1239.75,136.003,668,904,800.5,89.491,1.502,1.869,1.66,0.155,55,79,66.75,7.344,41.037,61.057,54.088,8.908,0,61.057,27.044,29.493,NA,NA,NA,NA,41.037,61.057,54.088,8.908,27.33,38.123,32.576,4.747,121.608,135,128.331,6.665,NA,NA,NA,NA,,211.608,225,218.331,178.4,36.731,0.6410768876,
12,39.9611,-83.432102,FSR,1,27,6,2016,13,35,Camera1_062716_13.35_for_60sec,,,2,2,4,8,1698.667,1753.333,1727.833,16.165,828.667,948.667,878.833,43.222,0.801,1.869,1.351,0.529,53,89,74.75,10.593,64.346,96.231,78.251,14.421,0,96.231,39.125,42.879,NA,NA,NA,NA,64.346,96.231,78.251,14.421,34.437,120.169,69.41,40.254,-86.028,117.553,17.345,104.238,NA,NA,NA,NA,,3.972,207.553,107.345,178.4,285.745,4.987191071,
13,39.9611,-83.432102,FSR,1,27,6,2016,13,35,Camera1_062716_13.35_for_60sec,,,3,3,4,8,1514.167,1606.167,1558.354,31.523,486.5,643,563.646,59.221,1.001,2.336,1.602,0.561,75,93,79,5.88,50.495,60.402,56.596,4.706,0,60.402,28.298,30.408,NA,NA,NA,NA,50.495,60.402,56.596,4.706,25.775,50.445,37.969,10.159,-162.769,132.325,55.155,145.326,NA,NA,NA,NA,,287.231,222.325,145.155,178.4,323.555,5.647100061,
14,39.9611,-83.432102,FSR,1,27,6,2016,13,40,Camera1_062716_13.40_for_60sec,,,1,1,4,8,960,1186.667,1071.5,72.418,832,880,858,15.936,1.101,1.835,1.368,0.322,63,134,95.125,20.266,44.721,58.439,49.634,6.069,0,58.439,24.817,26.826,NA,NA,NA,NA,44.721,58.439,49.634,6.069,26.417,47.336,37.677,9.223,116.565,165.174,145.771,20.712,NA,NA,NA,NA,,206.565,255.174,235.771,182.4,58.171,1.015275479,
15,39.9611,-83.432102,FSR,1,27,6,2016,13,40,Camera1_062716_13.40_for_60sec,,,2,2,4,8,1617.333,1692,1661.5,31.378,700,749.333,720.5,17.252,1.268,1.869,1.451,0.281,55,75,63.25,7.305,52.154,84.706,64.341,14.312,0,84.706,32.17,35.645,NA,NA,NA,NA,52.154,84.706,64.341,14.312,38.123,49.87,44.334,4.842,-32.471,-24.775,-27.592,3.61,NA,NA,NA,NA,,57.529,65.225,62.408,182.4,244.808,4.272705635,
